Time,color,Sleep,Rest,Active,Walk,Run
08:04:04,"=""56,108,176""",0.660645,,,,
08:05:09,"=""56,108,176""",0.660645,,,,
08:06:16,"=""56,108,176""",0.660645,,,,
08:07:33,"=""56,108,176""",0.660645,,,,
08:08:02,"=""56,108,176""",0.660645,,,,
08:09:38,"=""56,108,176""",0.660645,,,,
08:10:41,"=""56,108,176""",0.660645,,,,
08:11:53,"=""56,108,176""",0.660645,,,,
08:12:09,"=""56,108,176""",0.660645,,,,
08:13:16,"=""56,108,176""",0.660645,,,,
08:14:04,"=""56,108,176""",0.660645,,,,
08:15:34,"=""56,108,176""",0.660645,,,,
08:16:07,"=""56,108,176""",0.660645,,,,
08:17:19,"=""253,192,134""",,,0.660645,,
08:18:04,"=""253,192,134""",,,0.660645,,
08:19:04,"=""253,192,134""",,,0.660645,,
08:20:19,"=""253,192,134""",,,0.660645,,
08:21:19,"=""253,192,134""",,,0.660645,,
08:22:26,"=""56,108,176""",0.660645,,,,
08:23:13,"=""56,108,176""",0.660645,,,,
08:24:46,"=""56,108,176""",0.660645,,,,
08:25:49,"=""56,108,176""",0.660645,,,,
08:26:24,"=""255,255,153""",,0.864056,,,
08:27:09,"=""253,192,134""",,,0.716308,,
08:28:12,"=""255,255,153""",,1.56297,,,
08:29:04,"=""255,255,153""",,1.13304,,,
08:30:04,"=""253,192,134""",,,0.660645,,
08:31:48,"=""253,192,134""",,,0.660645,,
08:32:09,"=""253,192,134""",,,0.660645,,
08:33:21,"=""253,192,134""",,,0.852228,,
08:34:59,"=""255,255,153""",,0.781379,,,
08:35:43,"=""255,255,153""",,0.660645,,,
08:36:29,"=""255,255,153""",,0.660645,,,
08:37:42,"=""255,255,153""",,0.660645,,,
08:38:16,"=""255,255,153""",,0.660645,,,
08:39:28,"=""253,192,134""",,,4.01377,,
08:40:31,"=""255,255,153""",,0.660645,,,
08:41:56,"=""255,255,153""",,0.660645,,,
08:42:15,"=""255,255,153""",,0.660645,,,
08:43:41,"=""255,255,153""",,0.660645,,,
08:44:23,"=""255,255,153""",,0.660645,,,
08:45:01,"=""255,255,153""",,0.660645,,,
08:46:40,"=""255,255,153""",,0.660645,,,
08:47:54,"=""56,108,176""",0.660645,,,,
08:48:28,"=""56,108,176""",0.660645,,,,
08:49:40,"=""56,108,176""",0.660645,,,,
08:50:18,"=""56,108,176""",0.660645,,,,
08:51:27,"=""56,108,176""",0.660645,,,,
08:52:48,"=""56,108,176""",0.660645,,,,
08:53:40,"=""56,108,176""",0.660645,,,,
08:54:55,"=""56,108,176""",0.660645,,,,
08:55:03,"=""56,108,176""",0.660645,,,,
08:56:00,"=""56,108,176""",0.660645,,,,
08:57:28,"=""56,108,176""",0.660645,,,,
08:58:47,"=""56,108,176""",0.660645,,,,
08:59:38,"=""56,108,176""",0.660645,,,,
09:00:56,"=""56,108,176""",0.660645,,,,
09:01:21,"=""255,255,153""",,2.36581,,,
09:02:51,"=""255,255,153""",,1.23274,,,
09:03:54,"=""253,192,134""",,,4.78774,,
09:04:04,"=""255,255,153""",,1.42553,,,
09:05:59,"=""255,255,153""",,2.67242,,,
09:06:22,"=""253,192,134""",,,4.54127,,
09:07:14,"=""253,192,134""",,,3.6528,,
09:08:15,"=""255,255,153""",,1.16786,,,
09:09:38,"=""255,255,153""",,1.74422,,,
09:10:39,"=""253,192,134""",,,1.69823,,
09:11:12,"=""255,255,153""",,0.842529,,,
09:12:46,"=""255,255,153""",,1.37185,,,
09:13:40,"=""255,255,153""",,1.03901,,,
09:14:08,"=""255,255,153""",,1.24541,,,
09:15:13,"=""255,255,153""",,0.660645,,,
09:16:27,"=""255,255,153""",,0.660645,,,
